,target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url,sugar_result_perc,fiber_result_perc,calories_result_ratio,file_name,cropped_path
17,Adult,58,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedMinisBlueberryBurst.jpg,25%,7%,255,14,4,140,220,55,18,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=18,25,7,4.0,img_018_barbarasbakeryshreddedminisblueberryburst.jpg,../img/cropped/img_018_barbarasbakeryshreddedminisblueberryburst_cropped.png
18,Adult,70,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicCranberry.jpg,20%,18%,255,11,10,140,190,55,19,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=19,20,18,3.45454545455,img_019_barbarasbakeryultimaorganiccranberry.jpg,../img/cropped/img_019_barbarasbakeryultimaorganiccranberry_cropped.png
19,Adult,72,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicFlaxGranola.jpg,16%,18%,255,9,10,140,200,55,20,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=20,16,18,3.63636363636,img_020_barbarasbakeryultimaorganicflaxgranola.jpg,../img/cropped/img_020_barbarasbakeryultimaorganicflaxgranola_cropped.png
20,Adult,72,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicHighFiberOriginal.jpg,15%,25%,255,8,14,140,180,55,21,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=21,15,25,3.27272727273,img_021_barbarasbakeryultimaorganichighfiberoriginal.jpg,../img/cropped/img_021_barbarasbakeryultimaorganichighfiberoriginal_cropped.png
21,Adult,54,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsHoneyNut.jpg,33%,7%,267,10,2,80,120,30,22,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=22,33,7,4.0,img_022_barbarasbakeryholenoatshoneynut.jpg,../img/cropped/img_022_barbarasbakeryholenoatshoneynut_cropped.png
22,Adult,78,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsFruitJuiceSweetened.jpg,3%,10%,267,1,3,80,120,30,23,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=23,3,10,4.0,img_023_barbarasbakeryholenoatsfruitjuicesweetened.jpg,../img/cropped/img_023_barbarasbakeryholenoatsfruitjuicesweetened_cropped.png
23,Adult,68,http://cerealfacts.org/media/cereal_images/BarbarasBakeryCornFlakes.jpg,10%,3%,267,3,1,80,110,30,24,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=24,10,3,3.66666666667,img_024_barbarasbakerycornflakes.jpg,../img/cropped/img_024_barbarasbakerycornflakes_cropped.png
24,Adult,70,http://cerealfacts.org/media/cereal_images/BarbarasBakeryBrownRiceCrisps.jpg,3%,3%,317,1,1,95,120,30,25,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=25,3,3,4.0,img_025_barbarasbakerybrownricecrisps.jpg,../img/cropped/img_025_barbarasbakerybrownricecrisps_cropped.png
25,Family,50,http://cerealfacts.org/media/cereal_images/CFCinnamonCrunch.jpg,30%,11%,389,8,3,105,110,27,26,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=26,30,11,4.07407407407,img_026_cfcinnamoncrunch.jpg,../img/cropped/img_026_cfcinnamoncrunch_cropped.png
26,Child,52,http://cerealfacts.org/media/cereal_images/CFCliffordCrunch.jpg,27%,10%,533,8,3,160,110,30,27,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=27,27,10,3.66666666667,img_027_cfcliffordcrunch.jpg,../img/cropped/img_027_cfcliffordcrunch_cropped.png
27,Adult,50,http://cerealfacts.org/media/cereal_images/CFGranolaCinnamonRaisin.jpg,29%,5%,364,16,3,200,210,55,28,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=28,29,5,3.81818181818,img_028_cfgranolacinnamonraisin.jpg,../img/cropped/img_028_cfgranolacinnamonraisin_cropped.png
28,Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaFruitNut.jpg,27%,6%,183,14,3,95,210,52,29,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=29,27,6,4.03846153846,img_029_cfgranolafruitnut.jpg,../img/cropped/img_029_cfgranolafruitnut_cropped.png
29,Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaMapleBrownSugar.jpg,25%,5%,291,14,3,160,220,55,30,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=30,25,5,4.0,img_030_cfgranolamaplebrownsugar.jpg,../img/cropped/img_030_cfgranolamaplebrownsugar_cropped.png
30,Adult,54,http://cerealfacts.org/media/cereal_images/CFGranolaOatsHoney.jpg,24%,5%,218,13,3,120,230,55,31,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=31,24,5,4.18181818182,img_031_cfgranolaoatshoney.jpg,../img/cropped/img_031_cfgranolaoatshoney_cropped.png
31,Adult,56,http://cerealfacts.org/media/cereal_images/CFGranolaFrenchVanillaAlmond.jpg,26%,6%,170,13,3,85,210,50,32,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=32,26,6,4.2,img_032_cfgranolafrenchvanillaalmond.jpg,../img/cropped/img_032_cfgranolafrenchvanillaalmond_cropped.png
32,Adult,52,http://cerealfacts.org/media/cereal_images/CFGranolaDarkChocolateAlmond.jpg,27%,8%,308,14,4,160,210,52,33,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=33,27,8,4.03846153846,img_033_cfgranoladarkchocolatealmond.jpg,../img/cropped/img_033_cfgranoladarkchocolatealmond_cropped.png
33,Adult,48,http://cerealfacts.org/media/cereal_images/CFHeartyMorning.jpg,20%,15%,655,11,8,360,200,55,34,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=34,20,15,3.63636363636,img_034_cfheartymorning.jpg,../img/cropped/img_034_cfheartymorning_cropped.png
34,Family,50,http://cerealfacts.org/media/cereal_images/CFHoneyNutOs.jpg,23%,10%,567,7,3,170,110,30,35,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=35,23,10,3.66666666667,img_035_cfhoneynutos.jpg,../img/cropped/img_035_cfhoneynutos_cropped.png
